137	dead alive 	peter jackson	splatter/horror	1h 44m	86%	1992	n/a	FALSE	n/a
138	riki-oh: the story of riki	lam ngai kai	crime/thriller	1h 31m	89%	1991	n/a	TRUE	n/a
139	santa with muscles	john murlowski	comedy/family/holiday	1h 37m	23%	1996	n/a	TRUE	n/a
140	shark attack 3: megalodon	david worth	fantasy/horror	1h 39m	20%	2002	n/a	TRUE	n/a
141	ssssssss	bernard l. kowalski	sci-fi/horror	1h 39m	30%	1973	n/a	TRUE	n/a
142	attack of the killer tomatoes 	john de bello	parody/sci-fi	1h 27m	27%	1978	n/a	FALSE	n/a
143	chopping mall 	jim wynorski	slasher/indie/sci-fi	1h 35m	63%	1986	n/a	TRUE	n/a
144	brain damage	frank henenlotter	sci-fi/farce	1h 26m	69%	1988	n/a	FALSE	n/a
145	street trash	j. michael muro	cult/horror	1h 42m	67%	1987	n/a	FALSE	n/a
146	the incredible melting man 	william sachs	sci-fi/cult	1h 26m	7%	1977	n/a	FALSE	n/a
147	the guyver	steve wang, screaming mad george	sci-fi/action	1h 45m	36%	1991	mutronics	FALSE	n/a
148	for y'ur height only 	eddie nicart	action/comedy	1h 33m	70%	1981	n/a	FALSE	n/a
149	phantasm 2	don coscarelli	fantasy/sci-fi	1h 37m	30%	1988	n/a	FALSE	n/a
150	forbidden zone	richard elfman	comedy/thriller	1h 16m	88%	1980	n/a	FALSE	n/a
151	hardbodies	mark griffiths	comedy	1h 28m	31%	1984	n/a	FALSE	n/a
152	the brain	edward hunt	sci-fi/horror	1h 34m	37%	1988	n/a	FALSE	n/a
153	munchies	tina hirsch	horror/comedy	1h 23m	25%	1987	n/a	FALSE	n/a
154	munchie	jim wynorski	comedy/sci-fi	1h 30m	41%	1992	n/a	FALSE	n/a
155	munchie strikes back	jim wynorski	comedy/family	1h 34m	30%	1994	n/a	FALSE	n/a
156	the happening	m. night shyamalan	fantasy/mystery	1h 50m	18%	2008	n/a	TRUE	n/a
157	xanadu	robert greenwald	fantasy/romance	1h 36m	24%	1980	n/a	FALSE	n/a
158	porky's	bob clark	comedy	1h 39m	30%	1981	n/a	FALSE	n/a
159	porky's ii: the next day	bob clark	comedy/screwball	1h 38m	11%	1983	n/a	FALSE	n/a
160	porkey's revenge	james komack	comedy/sport/teen	1h 32m	27%	1985	n/a	FALSE	n/a
161	hard ticket to hawaii	andy sidaris	thriller/action	1h 40m	17%	1987	n/a	TRUE	n/a
162	the sword and the sorcerer	albert pyun	fantasy/indie	1h 40m	67%	1982	n/a	TRUE	n/a
